,name,main_price,has_multiple_markets,market_count,prices,page,average_price,min_price,max_price
0,Süt Yarım Yağlı 200 Ml Pınar,14.95,False,,[],1,,,
1,Milupa Junior Devam Sütü 200 Ml,26.0,False,,[],1,,,
2,%3.1 Yağlı Süt 200 Ml Dost,9.75,False,,[],1,,,
3,Süt 1 Lt %1.5 Yağlı Pınar,43.0,True,+1 Market,"[43.0, 43.0]",1,43.0,43.0,43.0
4,Sütlü Kahveli İçecek 230 Ml Macchiato Torku,19.95,False,,[],1,,,
5,Süt Yarım Yağlı 180 Ml Sek,10.75,False,,[],1,,,
6,Süt 1 Lt %1.5 Yağlı Pınar,43.0,True,+1 Market,"[43.0, 43.0]",1,43.0,43.0,43.0
7,Yörsan Yarım Yağlı Uht Süt 1 Lt,31.5,False,,[],1,,,
8,Migros Yarım Yağlı Laktozsuz Uht İçme Sütü 1 Lt,39.95,False,,[],1,,,
9,Süt Yağlı 1 Lt Birşah,29.75,False,,[],1,,,
10,Süt %0.5 Yağlı 4 X 1 Lt Torku,149.0,False,,[],1,,,
11,Mis Uht Süt %3.1 Yağlı 1 Lt,33.75,False,,[],1,,,
12,İçim Rahat Laktozsuz Süt 500 Ml,35.9,False,,[],1,,,
13,Pınar Süt %1 Yağlı 1 Lt,38.95,True,+1 Market,"[38.95, 38.95]",1,38.95,38.95,38.95
14,Süt Çocuk 500 Ml Pınar,31.95,False,,[],1,,,
15,Migros Yarım Yağlı Laktozsuz Uht İçme Sütü 1 Lt,39.95,False,,[],1,,,
16,Alpimilk Süt Aromalı Çikolatalı 180 Ml,14.95,False,,[],1,,,
17,Nesquik Çilekli Süt 180 Ml,18.5,True,+1 Market,"[18.5, 24.75]",1,21.625,18.5,24.75
18,Tarım Kredi Çilek Aromalı Süt 200 Ml,10.5,False,,[],1,,,
19,Nesquik Laktozsuz Şeker İlavesiz Kakaolu Süt 180 Ml,28.75,False,,[],1,,,
20,%1.5 Yağlı Süt 1 Lt Dost,31.0,False,,[],1,,,
21,Pınar Kido Süt Kakaolu 180 Ml,12.9,True,+5 Market,"[12.9, 12.95, 14.75, 14.75, 14.95, 14.95]",1,14.208333333333334,12.9,14.95
22,İçim İçimino Muzlu Süt 180 Ml,12.75,True,+1 Market,"[12.75, 14.5]",1,13.625,12.75,14.5
23,Pınar Bitkisel Bazlı Badem İçeceği 1 Lt,114.95,False,,[],1,,,
24,Süt Çilekli 180 Ml Danone,11.5,False,,[],2,,,
25,Süt Pastörize Günlük 1 Lt Dost,38.5,False,,[],2,,,
26,Pınar Kido Süt Muzlu 180 Ml,12.9,True,+2 Market,"[12.9, 12.95, 14.95]",2,13.6,12.9,14.95
27,Nesquik Kakaolu Süt 180 Ml,18.5,True,+1 Market,"[18.5, 24.75]",2,21.625,18.5,24.75
28,Süt Kakao Aromalı 200 Ml Lt Dost,10.75,False,,[],2,,,
29,Pınar Protein Çilekli 500 Ml,47.9,True,+1 Market,"[47.9, 58.25]",2,53.075,47.9,58.25
30,Süt Karamelli 180 Ml Pınar Kido,14.95,False,,[],2,,,
31,Yörsan Yarım Yağlı Uht Süt 1 Lt,31.5,False,,[],2,,,
32,İçim İçimino Çilekli Süt 6x180 Ml,82.5,False,,[],2,,,
33,Süt Yağlı 200 Ml Birşah,9.75,False,,[],2,,,
34,Pınar Süt 6 X 200 Ml,90.9,True,+1 Market,"[90.9, 102.0]",2,96.45,90.9,102.0
35,Mis Uht Süt Laktozsuz 1 Lt,39.75,False,,[],2,,,
36,%1.5 Yağlı Süt 1 Lt Dost,31.0,False,,[],2,,,
37,Starbucks Chilled Klasik Coffee Latte,119.95,False,,[],2,,,
38,Süt Laktozsuz 1 Lt Birşah,39.75,False,,[],2,,,
39,İçim Çocuk Devam Sütü 200 Ml,18.95,False,,[],2,,,
40,Mis Çikolatalı Süt 200 Ml,10.75,False,,[],2,,,
41,İçim Süt 200 Ml,15.85,True,+1 Market,"[15.85, 15.95]",2,15.899999999999999,15.85,15.95
42,Süt %2.5 Yağlı 1 Lt Pınar,32.95,True,+1 Market,"[32.95, 45.75]",2,39.35,32.95,45.75
43,Pınar Denge Laktozsuz Süt 1 Lt,39.95,True,+2 Market,"[39.95, 47.5, 57.95]",2,48.46666666666667,39.95,57.95
44,Sütlü Kahveli İçecek 230 Ml Mocha Torku,25.0,False,,[],2,,,
45,Alpro Badem Sütü 1 Lt,99.9,False,,[],2,,,
46,Mis Bakraçlık Süt Tam Yağlı 1 Lt,39.5,False,,[],2,,,
47,Sütlü Kahveli İçecek 230 Ml Mocha Torku,25.0,False,,[],2,,,
48,Süt Yarım Yağlı 180 Ml Danone,7.95,False,,[],3,,,
49,Mis Uht Süt Yarım Yağlı 1 Lt,31.0,False,,[],3,,,
50,Sütlü Kahveli İçecek 230 Ml Latte Torku,25.0,False,,[],3,,,
51,Pınar Süt Denge Laktozsuz 200 Ml,19.95,True,+1 Market,"[19.95, 20.0]",3,19.975,19.95,20.0
52,Mis Uht Süt Yarım Yağlı 1 Lt,31.0,False,,[],3,,,
53,Starbucks Chilled Klasik Caramel Macchiato,119.95,False,,[],3,,,
54,Pınar Süt Denge Laktozsuz 200 Ml,19.95,True,+1 Market,"[19.95, 20.0]",3,19.975,19.95,20.0
55,Disney Kakaolu Süt 180 Ml,10.95,True,+1 Market,"[10.95, 10.95]",3,10.95,10.95,10.95
56,Alpro Hindistan Cevizi Sütü 1 Lt,99.95,False,,[],3,,,
57,Tarım Kredi Yağlı Süt ( %3.1 ) 1 Lt,33.75,False,,[],3,,,
58,Süt Çik.fın.aro.180ml Alpimilk,9.75,False,,[],3,,,
59,Pınar Bitkisel Bazlı Badem İçeceği 1 Lt,114.95,False,,[],3,,,
60,İçim Süt 1 Lt,34.5,True,+1 Market,"[34.5, 45.0]",3,39.75,34.5,45.0
61,Süt %2.5 Yağlı 1 Lt Pınar,32.95,True,+1 Market,"[32.95, 45.75]",3,39.35,32.95,45.75
62,İçim Devam Sütü 1 Lt,53.25,True,+2 Market,"[53.25, 54.0, 59.95]",3,55.73333333333333,53.25,59.95
63,Sek Günlük Pastörize Şişe Süt 1 Lt,79.95,True,+1 Market,"[79.95, 79.95]",4,79.95,79.95,79.95
64,Milkshake Çilekli 330 Ml Sek,29.75,False,,[],4,,,
65,Mis Ballı Süt 200 Ml,10.75,False,,[],4,,,
66,"Süt Dost 1 Lt %0,1 Yağlı",26.75,False,,[],4,,,
67,Milupa Çocuk Devam Sütü 1 Lt,69.5,False,,[],4,,,
68,Süt Doğal %3.1 Yağlı 200 Ml Göynük,9.75,False,,[],4,,,
69,Dimes Milkshake Muzlu 310 Ml,38.9,True,+2 Market,"[38.9, 40.0, 40.4]",4,39.76666666666667,38.9,40.4
70,Pınar Kido Süt Çilekli 180 Ml,12.9,True,+4 Market,"[12.9, 12.95, 14.75, 14.95, 14.95]",4,14.1,12.9,14.95
71,Sek Protein Hindistan Cevizi Aromalı Süt 330 Ml,49.95,False,,[],4,,,
72,Alpro Bademli İçecek 1 Lt,99.95,False,,[],4,,,
73,Pınar Laktozsuz Proteinli Kahveli Süt 500 Ml,61.5,False,,[],4,,,
74,Vegan Milk Ege Bademli İçecek 700 Ml,115.0,True,+1 Market,"[115.0, 156.5]",4,135.75,115.0,156.5
75,Pınar Bitkisel Bazlı Fındık İçeceği 1 Lt,114.95,False,,[],4,,,
76,Alpro Bitter Çikolata Badem İçeceği 1 Lt,99.95,False,,[],4,,,
77,Sek Süt 500 Ml,31.75,True,+1 Market,"[31.75, 32.25]",4,32.0,31.75,32.25
78,Sek Protein Hindistan Cevizi Aromalı Süt 330 Ml,49.95,False,,[],4,,,
79,Mis Muzlu Süt 200 Ml,10.75,False,,[],4,,,
80,Süt Çilek Aromalı 200 Ml Lt Dost,10.75,False,,[],4,,,
81,Süt Laktozsuz 1 Lt Pınar,37.5,False,,[],4,,,
82,İçim Süt 1 Lt,34.5,True,+1 Market,"[34.5, 45.0]",4,39.75,34.5,45.0
83,Mis Uht Süt %3.1 Yağlı 500 Ml,21.9,False,,[],4,,,
84,Pınar Süt Protein Vanilyalı 500 Ml,47.9,True,+1 Market,"[47.9, 58.25]",5,53.075,47.9,58.25
85,Nesquik Quik 6 X 180 Ml,90.9,False,,[],5,,,
86,Torku Uht Süt 500 Ml,29.95,False,,[],5,,,
87,Süt Çilek Aromalı 200 Ml Lt Dost,10.75,False,,[],5,,,
88,Vegan Milk Şekersiz Glutensiz Yulaflı İçecek 700 Ml,115.0,True,+1 Market,"[115.0, 156.5]",5,135.75,115.0,156.5
89,Süt Muzlu 200 Ml Birşah Milkino,10.75,False,,[],5,,,
90,İçimino Laktozsuz Kakaolu Süt 180 Ml,14.95,False,,[],5,,,
91,Danone Kakaolu Süt 9x180 Ml,79.95,False,,[],5,,,
92,Vegan Milk Karadeniz Fındığı İçecek 700 M,115.0,False,,[],5,,,
93,Torku Yarım Yağlı Süt 1 Lt,36.95,True,+1 Market,"[36.95, 43.0]",5,39.975,36.95,43.0
94,İçim Yarım Yağlı Süt 1 Lt,34.5,True,+3 Market,"[34.5, 41.75, 41.95, 41.95]",5,40.0375,34.5,41.95
95,Dost 330 Ml Muzlu & Çilekli Milkshake ( Karma,26.0,False,,[],5,,,
96,Süt Tam Yağlı 1 Lt Birşah,37.0,False,,[],5,,,
97,Torku Uht Süt 500 Ml,29.95,False,,[],5,,,
98,Aynes Laktozsuz Süt 1000 Ml,38.9,False,,[],5,,,
99,Sek Protein Hindistan Cevizi Aromalı Süt 330 Ml,49.95,False,,[],5,,,
100,Mis Uht Süt Yağsız 1 Lt,26.75,False,,[],5,,,
101,İçim Fit Çilekli Laktozsuz Süt 500 Ml,50.45,False,,[],5,,,
102,Süt Doğal %1.5 Yağlı 1000 Ml Göynük,31.0,False,,[],5,,,
103,Pınar Protein Yer Fıstığı & Muz Aromalı Süt 500 Ml,47.9,True,+1 Market,"[47.9, 58.25]",5,53.075,47.9,58.25
104,Disney Muz Aromalı Süt 6 X 180 Ml,42.95,True,+1 Market,"[42.95, 59.95]",5,51.45,42.95,59.95
105,Sütaş Çikolatalı Süt 1 Lt,74.5,False,,[],5,,,
106,Dimes Milkshake Vanilya Beyaz Çikolata Aromalı Çilekli 310 Ml,17.5,True,+4 Market,"[17.5, 38.9, 40.0, 40.0, 40.4]",6,35.36,17.5,40.4
107,Süt Kakaolu 180 Ml Yörükoğlu,8.5,False,,[],6,,,
108,Süt Doğal %1.5 Yağlı 1000 Ml Göynük,31.0,False,,[],6,,,
109,Süt Çilek Aromalı 200 Ml Göynük,10.75,False,,[],6,,,
110,Carrefour Yarım Yağlı Süt 1 Lt,24.9,False,,[],6,,,
111,Alpro Hindistan Cevizi İçeceği Şekersiz 1 Lt,99.95,False,,[],6,,,
112,Migros Uht Yağlı Süt 1 Lt .,33.95,False,,[],6,,,
113,Pınar Çocuk Sütü 1 Lt,45.0,True,+1 Market,"[45.0, 64.5]",6,54.75,45.0,64.5
114,Sek Kahveli Sütlü İçecek Latte 330 Ml,27.0,True,+2 Market,"[27.0, 45.0, 45.25]",6,39.083333333333336,27.0,45.25
115,Sek Barista Süt Uht 1 Lt,42.9,False,,[],6,,,
116,Sek Laktozsuz Pastörize Süt 200 Ml,24.0,False,,[],6,,,
117,Süt Yarım Yağlı 200 Ml Torku,14.5,False,,[],6,,,
118,Mis Çilekli Süt 200 Ml,10.75,False,,[],6,,,
119,Sek Laktozsuz Pastörize Süt 200 Ml,24.0,False,,[],6,,,
120,Nilky Bademli Şekersiz İçecek 1 Lt,93.5,False,,[],6,,,
121,Süt Kakaolu İçimino 180 Ml,14.5,True,+1 Market,"[14.5, 14.5]",6,14.5,14.5,14.5
122,Süt Çilekli 200 Ml Birşah Milkino,10.75,False,,[],6,,,
123,Süt Çilek Aromalı 200 Ml Lt Dost,10.75,False,,[],6,,,
124,Süt Yarım Yağlı 200 Ml İçim,12.5,False,,[],6,,,
125,Pınar Protein Yer Fıstığı & Muz Aromalı Süt 500 Ml,47.9,True,+1 Market,"[47.9, 58.25]",6,53.075,47.9,58.25
126,Sek Yeni Nesil Günlük Süt 1 Lt,51.95,True,+1 Market,"[51.95, 69.95]",6,60.95,51.95,69.95
127,Süt Çilekli 6 X 180 Ml Pınar Kido,74.5,False,,[],6,,,
128,Pınar Süt Protein Vanilyalı 500 Ml,47.9,True,+1 Market,"[47.9, 58.25]",7,53.075,47.9,58.25
129,Süt Muzlu 180 Ml Sek,11.5,False,,[],7,,,
130,Süt Çilekli 180 Ml Torku Miniki,14.5,False,,[],7,,,
131,Süt Laktozsuz 1 Lt Torku,42.0,False,,[],7,,,
132,Pınar Organik Süt 1 Lt,56.95,True,+1 Market,"[56.95, 65.0]",7,60.975,56.95,65.0
133,Torku Süt 1 Lt,36.5,False,,[],7,,,
134,Sek Caramel Macchiato 330 Ml,39.5,True,+2 Market,"[39.5, 45.0, 45.25]",7,43.25,39.5,45.25
135,İçim Pastörize Günlük Şişe Süt 1 Lt,66.25,False,,[],7,,,
136,Süt Doğal Taze %3.1 Yağlı 1000 Ml Göynük,34.75,False,,[],7,,,
137,Süt Yarım Yağlı 200 Ml Torku,14.5,False,,[],7,,,
138,Mis Çilekli Süt 200 Ml,10.75,False,,[],7,,,
139,Sek Laktozsuz Pastörize Süt 200 Ml,24.0,False,,[],7,,,
140,Orvital Organik Yağlı Pastorize Süt 1 Lt,89.95,False,,[],7,,,
141,Milkshake Çilek 100 Ml Danone,21.0,False,,[],7,,,
142,Süt Yağsız 1 Lt Birşah,26.75,False,,[],7,,,
143,Nesquik Quik Laktozsuz Şeker İlavesiz Kakaolu 6 X 180,155.95,False,,[],7,,,
144,Süt Doğal %3.1 Yağlı 1000 Ml Göynük,33.75,False,,[],7,,,
145,Milkshake Çilek 100 Ml Danone,21.0,False,,[],7,,,
146,Migros %3 Yağlı Uht İçme Sütü 1l.,29.5,False,,[],7,,,
147,Süt Çikolata Kurabiye Aromalı 180 Ml Danone,7.95,False,,[],7,,,
148,Dimes Milkshake Karamelli 310 Ml,38.9,False,,[],7,,,
149,Alpro Şekersiz Badem İçeceği 1 Lt,99.9,False,,[],7,,,
150,İçim Fit Protein Vanilyalı Laktozsuz Süt 400 Ml,47.5,True,+2 Market,"[47.5, 49.9, 49.95]",8,49.116666666666674,47.5,49.95
151,Mis Kakaolu Süt 200 Ml,10.75,False,,[],8,,,
152,Süt Çilekli 180 Ml Torku Miniki,14.5,False,,[],8,,,
153,Sek Pastörize Çilekli Süt 200 Ml,22.95,False,,[],8,,,
154,İçim Lezzet %3.5 Yağlı Uht Süt 1 Lt,49.95,True,+1 Market,"[49.95, 49.95]",8,49.95,49.95,49.95
155,Tarım Kredi Muz Aromalı Süt 200 Ml,10.5,False,,[],8,,,
156,Alpro Fındık Sütü 1 Lt,99.9,False,,[],8,,,
157,Sek Caramel Macchiato 330 Ml,39.5,True,+2 Market,"[39.5, 45.0, 45.25]",8,43.25,39.5,45.25
158,Süt Yağlı 1 Lt Pınar,39.95,True,+3 Market,"[39.95, 49.75, 49.95, 49.95]",8,47.400000000000006,39.95,49.95
159,Süt Muzlu 180 Ml Yörükoğlu,8.5,False,,[],8,,,
160,Süt Yarım Yağlı 200 Ml Torku,14.5,False,,[],8,,,
161,Dimes Milkshake Kakaolu 310 Ml,38.9,False,,[],8,,,
162,Süt Çilekli İçimino 180 Ml,12.75,True,+2 Market,"[12.75, 14.5, 14.5]",8,13.916666666666666,12.75,14.5
163,Orvital Organik Yağlı Pastorize Süt 1 Lt,89.95,False,,[],8,,,
164,Milkshake Çilek 100 Ml Danone,21.0,False,,[],8,,,
165,Yörüksüt Yarım Yağlı Süt 1 Lt,29.95,False,,[],8,,,
166,Migros %3 Yağlı Uht İçme Sütü 1l.,29.5,False,,[],8,,,
167,İçim Fit Protein Kakaolu Laktozsuz Süt 400 Ml,44.5,True,+3 Market,"[44.5, 47.5, 49.9, 49.95]",8,47.962500000000006,44.5,49.95
168,Sek Günlük Süt 500 Ml,39.95,False,,[],8,,,
169,Migros %3 Yağlı Uht İçme Sütü 1l.,29.5,False,,[],8,,,
170,Yörsan % 3.1 Yağlı Uht Süt 1 Lt,37.95,False,,[],8,,,
171,Dimes Milkshake Karamelli 310 Ml,38.9,False,,[],8,,,
172,Laktozsuz Süt 1 Lt Dost,39.75,False,,[],8,,,
173,İçim Çilekli Pastörize Süt 1 Lt,69.9,False,,[],9,,,
174,Milkshake Antep Fıst.310ml Dimes,34.5,False,,[],9,,,
175,"Süt 0,5 Yağlı 1000 Ml İçim",21.75,False,,[],9,,,
176,Süt Laktozsuz 1 Lt Torku,42.0,False,,[],9,,,
177,İçim Lezzet %3.5 Yağlı Uht Süt 1 Lt,49.95,True,+1 Market,"[49.95, 49.95]",9,49.95,49.95,49.95
178,Tarım Kredi Muz Aromalı Süt 200 Ml,10.5,False,,[],9,,,
179,Yörükoğlu Süt 180 Ml,8.0,False,,[],9,,,
180,Süt Çilekli 180 Ml Sek,11.5,True,+1 Market,"[11.5, 13.75]",9,12.625,11.5,13.75
181,Carrefour Süt Tam Yağlı 200 Ml,8.0,False,,[],9,,,
182,Pınar Süt 500 Ml,30.9,True,+1 Market,"[30.9, 34.95]",9,32.925,30.9,34.95
183,Süt Muzlu 180 Ml Yörükoğlu,8.5,False,,[],9,,,
184,Pınar Süt Kakaolu 6x180,59.5,False,,[],9,,,
185,Süt %2.5 Yağlı 1 Lt Sütaş,42.5,False,,[],9,,,
186,Süt Kakaolu 200 Ml Göynük,10.75,False,,[],9,,,
187,Sek Protein Kakaolu Süt 330 Ml,45.4,True,+1 Market,"[45.4, 49.95]",9,47.675,45.4,49.95
188,Pınar Süt 200 Ml,16.5,True,+4 Market,"[16.5, 16.5, 16.5, 17.0, 18.5]",9,17.0,16.5,18.5
189,Süt Çocuk Devam 500 Ml Dost,28.25,False,,[],9,,,
190,Nilky Hindistan Cevizi 1 Lt,93.5,False,,[],9,,,
191,Sütlü Kahveli İçecek Latte 1 Lt Sütaş,49.0,False,,[],9,,,
192,Süt Çik.muz Aro.180ml Alpimilk,9.75,False,,[],9,,,
193,İçim Fit Vanilyalı Süt 500 Ml,39.95,False,,[],9,,,
194,Sek Süt 200 Ml,10.9,True,+1 Market,"[10.9, 14.0]",9,12.45,10.9,14.0
195,Danone Laktozsuz Süt 1 Lt,35.0,True,+1 Market,"[35.0, 48.5]",9,41.75,35.0,48.5
196,Pınar Laktozsuz Süt 500 Ml,36.95,True,+1 Market,"[36.95, 37.25]",10,37.1,36.95,37.25
197,Alpimilk Çikolatalı Portakallı 180 Ml,14.95,False,,[],10,,,
198,Mis Çocuk Devam Sütü 500 Ml,28.25,False,,[],10,,,
199,Süt Muzlu 180 Ml Torku Miniki,14.5,False,,[],10,,,
200,Süt Pastörize Tam Yağlı 1 Lt Dost Altın,39.5,False,,[],10,,,
201,Pınar Süt Protein Kakaolu 500 Ml,47.9,True,+2 Market,"[47.9, 53.9, 58.25]",10,53.35,47.9,58.25
202,Pınar Organik Süt 200 Ml,18.45,True,+1 Market,"[18.45, 22.95]",10,20.7,18.45,22.95
203,Süt Çocuk 200 Ml Pınar,20.0,True,+2 Market,"[20.0, 20.0, 21.95]",10,20.650000000000002,20.0,21.95
204,İçim Barista Süt 1000 Ml,34.75,False,,[],10,,,
205,Dimes Antep Fıstıklı Milkshake 310 Ml,32.95,True,+1 Market,"[32.95, 40.0]",10,36.475,32.95,40.0
206,Disney Muzlu Süt 180 Ml,10.95,False,,[],10,,,
207,Tarım Kredi Yağlı Sade Süt 200 Ml,9.5,False,,[],10,,,
208,İçim Organik Süt 200 Ml,20.95,False,,[],10,,,
209,Süt Yarım Yağlı 500 Ml Pınar,29.0,False,,[],10,,,
210,Süt Kakaolu 180 Ml Sek,11.5,True,+1 Market,"[11.5, 13.75]",10,12.625,11.5,13.75
211,İçim Fit Vanilyalı Süt 500 Ml,39.95,False,,[],10,,,
